#{"t_start": 1737020819.9345298, "env_id": "None"}
r,l,t
41.819521,860,4.117402
6.562059,164,5.391992
7.981822,243,6.910281
4.108733,115,8.129263
5.538991,143,9.393956
8.452702,228,10.846078
6.052445,140,12.11536
7.263406,260,13.767942
6.674251,193,15.224691
4.084355,113,16.433359
3.54904,98,17.616802
3.819131,102,18.799638
8.350974,275,20.397834
4.896824,121,21.642878
3.207498,90,22.90592
2.775786,81,24.069903
3.898487,98,25.290251
2.856339,82,26.502638
3.839173,97,27.74556
5.676392,115,28.988246
3.99236,93,30.214546
3.583098,90,31.484521
3.307584,83,32.641203
4.593812,105,33.881603
4.519105,100,35.078906
3.314153,82,36.2617
4.669844,103,37.503003
4.089845,94,38.677385
4.586007,100,39.858979
8.636265,201,41.333896
3.377226,86,42.533241
3.194189,85,43.802064
4.426247,101,45.01496
3.76219,93,46.164152
3.866834,97,47.342453
3.638358,87,48.567226
4.406615,109,49.75929
3.705638,92,50.939351
5.451313,132,52.171677
3.993128,97,53.377355
4.250744,98,54.56682
4.29688,105,55.768917
8.856151,155,57.105798
7.98907,143,58.478077
6.401264,126,59.741558
8.105839,152,61.063086
7.974847,151,62.434522
12.448965,174,63.806699
7.912777,202,65.224704
18.402253,309,66.842341
5.06049,105,68.073119
14.759717,215,69.58361
10.218083,169,70.955105
16.3477,214,72.423426
8.872702,147,73.717258
7.203349,129,74.978531
8.231508,154,76.297279
8.232099,149,77.568422
11.898627,178,78.939105
17.75368,220,80.358661
4.417569,96,81.617075
6.857155,139,82.972686
9.098448,146,84.24822
8.915347,186,85.616815
9.928901,164,86.966355
8.787996,148,88.322067
9.252658,173,89.652782
9.294222,164,91.01707
7.780734,155,92.338403
7.311822,142,93.608699
5.718419,118,94.854878
5.855564,116,96.08262
4.980709,101,97.28689
5.473956,116,98.507936
4.813861,105,99.745596
4.406104,97,100.913162
3.73629,89,102.105342
3.259554,86,103.318524
4.225365,97,104.521789
3.725927,89,105.69504
3.364161,84,106.850783
3.69879,89,108.124177
3.32893,82,109.372167
4.143008,93,110.569665
3.91844,95,111.75541
3.802374,92,112.915926
2.815066,77,114.10898
3.383568,85,115.303997
3.32093,91,116.538241
4.81739,102,117.737652
3.03232,83,118.894246
3.733684,96,120.078146
2.914833,83,121.246671
3.233776,84,122.467631
2.722328,80,123.617183
3.138333,80,124.853199
3.29376,86,126.037516
3.152794,82,127.283738
3.378121,88,128.503141
3.305533,83,129.678644
3.226525,81,130.817738
3.873031,88,132.001006
3.287335,84,133.233996
3.554766,85,134.460338
3.225688,87,135.641858
3.43012,89,136.805549
4.066708,93,138.071078
3.242094,85,139.278849
3.584736,88,139.994177
4.096296,96,141.184406
2.857557,78,142.384254
3.00076,86,143.551682
4.59344,100,144.824011
6.704397,123,146.08189
5.185749,106,147.274765
5.783739,113,148.503033
10.80225,171,149.891314
8.08149,159,151.201158
23.446758,312,152.890472
7.597592,136,154.1841
9.785409,172,155.540741
10.232871,174,156.903313
11.639874,178,158.280429
7.786066,151,159.581856
26.100426,333,161.266918
21.583478,197,162.737859
13.282924,215,164.299268
6.52704,144,165.676887
6.950002,127,166.946374
10.849791,172,168.325698
9.741158,159,169.616734
20.25397,495,171.653062
26.355559,411,173.57343
8.877407,154,174.865016
25.27746,199,176.258503
26.438518,370,178.027409
12.682392,189,179.376988
35.58254,562,181.603878
8.361839,140,182.917812
4.942906,103,184.112972
3.316532,82,185.273128
3.509095,88,186.538767
3.700906,86,187.707572
2.990955,78,188.945417
3.473464,86,190.124691
3.680758,88,191.327279
4.101168,93,192.558904
3.406891,85,193.715752
4.157705,92,194.904265
5.046805,110,196.142778
4.226427,94,197.322191
4.199264,95,198.515746
3.308794,83,199.657276
3.388326,83,200.813592
3.201154,87,201.949687
3.636487,86,203.108572
3.490345,88,204.255122
7.555983,132,205.521343
3.20275,82,206.677158
3.322783,85,207.83893
3.196776,81,208.987033
3.660183,89,210.195856
4.027059,92,211.344476
3.423794,86,212.541737
3.58747,89,213.737583
3.510287,86,214.995241
3.064245,80,216.135937
3.508664,88,217.308695
3.012626,81,218.50243
3.384823,83,219.662645
3.011175,79,220.78545
3.808433,89,221.945938
3.212618,84,223.112522
2.961539,80,224.244839
2.972748,78,225.412296
3.302948,83,226.531609
3.364381,82,227.225724
3.520016,86,228.372188
2.926401,82,229.52043
3.55033,86,230.687739
3.32367,87,231.84525
3.260917,83,232.97465
3.032352,81,234.112989
2.966859,82,235.263385
3.079814,86,236.405829
3.010627,78,237.527452
2.888161,77,238.734861
2.994196,79,239.868417
2.948769,86,241.040235
3.320178,86,242.235352
2.777545,86,243.392761
3.099446,83,244.53254
2.860995,80,245.672711
2.925073,80,246.844769
2.630183,75,247.952301
2.908404,83,249.076396
2.940903,78,250.211991
2.619327,89,251.368029
2.743928,80,252.487436
3.263581,85,253.654402
2.926546,83,254.794345
3.017816,82,255.935199
2.717769,80,257.142333
2.830409,82,258.262685
2.972612,80,259.391454
2.941232,83,260.556951
2.97388,81,261.682902
3.080039,84,262.822914
3.373347,86,264.006071
2.821643,81,265.131552
2.652912,80,266.261292
2.901089,80,267.442493
3.009333,81,268.615569
2.745796,77,269.751868
2.845662,78,270.936525
2.830018,81,272.06251
2.894893,80,273.207636
2.933873,82,274.333734
2.651438,79,275.520739
2.894796,82,276.682267
3.098996,82,277.830979
2.774923,79,278.975455
3.126117,83,280.18982
2.842223,84,281.371821
2.78574,85,282.585015
2.931918,80,283.725951
2.925411,82,284.864328
2.742223,84,286.055387
2.921946,82,287.197942
3.103066,81,288.362739
2.834081,83,289.515433
3.01486,88,290.707354
2.874999,80,291.846633
2.829432,80,292.958707
2.841514,80,294.131038
3.040339,80,295.341877
2.876241,80,296.477446
2.832077,78,297.673812
2.672491,75,298.804451
3.208951,85,300.021791
2.800271,79,301.147226
2.736093,79,302.295196
3.07215,81,303.411235
3.007798,81,304.5806
2.861827,79,305.710994
2.86541,79,306.873119
2.936667,81,308.01737
2.809141,79,309.141176
2.857642,81,310.269565
2.940249,80,311.474695
3.081416,83,312.623707
2.997477,80,313.745809
2.763327,79,314.877805
3.230149,87,316.01629
3.027235,85,317.140724
2.476643,79,318.283068
2.968018,82,319.409196
2.804658,86,320.622519
2.949234,85,321.76182
3.339369,86,322.910014
3.051976,83,324.114704
3.489432,97,325.312379
2.848187,88,326.478255
3.359221,100,327.666686
3.157915,101,328.868521
3.050387,90,330.074236
3.462269,115,331.38708
3.85393,110,332.587983
3.307498,128,333.866571
3.922179,136,335.097737
4.452366,109,336.28035
4.22624,103,337.4733
3.502011,98,338.63445
3.413291,94,339.889148
3.903842,93,341.035786
4.937912,110,342.252522
3.599151,89,343.410396
4.270691,98,344.564293
4.141795,104,345.736155
4.257441,96,346.939159
5.842659,117,348.171295
3.487071,101,349.352946
3.908355,97,350.523701
5.047774,110,351.739958
3.575013,101,352.924074
3.269433,85,354.102644
3.529994,94,355.290756
3.834047,92,356.526591
4.109106,98,357.683421
3.83614,94,358.819406
3.720016,91,359.979593
21.60213,230,361.397071
2.927507,84,362.602709
3.859596,94,363.808077
3.407057,86,364.965224
3.219747,84,366.164119
56.972058,1205,369.579573
2.943057,83,370.720881
3.396379,90,371.879775
5.698653,114,373.088478
3.213868,84,374.345932
3.150677,84,375.48411
4.037222,94,376.707103
2.950078,87,377.907434
16.367512,295,379.452767
4.907104,105,380.620815
4.751493,107,381.81386
3.156777,92,382.980364
3.689196,93,384.148799
2.994633,91,385.27976
14.50714,322,386.897897
3.724086,102,388.136422
3.375044,90,389.29683
3.620796,89,390.469516
5.155251,110,391.679319
7.123589,137,393.007075
6.967122,140,394.26693
3.413956,96,395.405654
8.823196,158,396.691859
5.497902,134,397.926546
7.499325,154,399.262954
4.264366,103,400.445013
5.866026,175,401.755647
15.653311,354,403.522293
4.139914,103,404.682477
3.652782,95,405.849031
