#{"t_start": 1737009019.944477, "env_id": "None"}
r,l,t
14.558219,313,5.076129
14.201381,314,10.357127
13.011608,302,15.572686
11.018881,328,22.033406
10.108069,317,28.444109
11.228067,301,34.476013
16.638137,320,40.871942
17.213545,316,47.112985
13.702043,399,54.842326
20.161141,197,59.202534
14.462276,344,65.955056
11.902505,326,72.462208
9.811236,253,77.80692
5.547982,325,84.259615
14.895555,300,90.413432
13.880342,305,96.633816
10.713547,291,102.640403
13.818903,314,109.007304
21.970655,221,113.857216
11.044781,312,120.201423
14.416922,354,127.220467
25.20936,253,132.510098
9.760582,264,138.040396
22.935176,227,142.973876
9.490829,248,148.203553
26.626393,369,155.409272
27.003011,280,161.172134
16.458612,310,167.416087
14.17002,320,173.826718
12.485891,328,180.345325
7.769575,316,186.725067
13.728009,302,192.852688
43.466122,1224,213.452085
17.27313,308,219.269539
11.653056,333,225.438252
22.984664,234,230.106283
12.569709,283,235.540785
22.019418,198,239.622433
51.993039,990,255.907543
24.068935,775,268.874237
10.73875,285,274.318739
16.448253,281,279.669541
16.956124,310,285.507662
32.993285,666,296.786118
22.578144,198,300.875066
21.984402,535,310.141503
14.551978,318,316.18734
23.746072,593,326.32377
21.114648,176,330.138451
3.770996,102,332.757873
9.111738,217,337.105834
7.432666,176,341.299262
17.153138,376,348.341376
18.381474,289,353.919736
47.765916,5879,440.119803
26.011691,273,445.239273
31.145593,430,452.554728
23.38038,515,460.991727
39.92176,993,476.024881
23.763334,237,480.657608
21.59576,181,484.441826
55.307349,1190,502.40901
17.218492,380,508.921282
97.562335,3442,558.475278
18.346643,300,563.838616
35.974297,674,574.503606
2.603406,114,577.405702
16.285184,260,582.48942
144.493517,3668,635.205868
36.485729,487,643.272367
20.299726,649,653.725696
4.786861,204,657.876051
3.095401,84,660.370294
14.192107,271,665.422592
13.419918,267,670.407668
46.737702,947,684.976045
16.005513,272,690.103887
23.914337,220,694.476311
26.347415,470,702.320587
9.43192,247,707.059428
13.909372,219,711.476139
52.757694,1817,738.257442
11.315092,251,743.092957
22.950442,189,747.059424
35.136207,902,760.992621
16.95769,561,770.157737
25.077318,194,774.209759
18.734573,430,781.673455
5.021363,179,785.459841
14.358908,269,790.571639
14.912765,377,797.17243
3.133757,82,799.659736
27.736293,207,803.966873
26.416618,199,808.039998
24.342055,539,816.853932
17.226376,302,822.454925
26.445382,219,826.803316
17.015701,265,831.826703
15.541556,303,837.326729
5.364293,111,840.210284
17.303208,272,845.375033
24.81681,661,856.054827
16.066464,322,862.040665
17.84777,687,872.958076
18.202327,167,876.592819
20.6242,393,883.409334
21.660411,490,891.627
18.120167,245,896.376974
27.275722,421,903.593227
20.279817,437,911.073139
3.64381,131,914.293039
13.154601,482,922.376779
27.311097,237,926.989416
3.229231,88,929.553201
40.585657,1020,945.210446
29.878824,612,955.160679
15.964611,284,960.457438
53.290244,2727,1000.636964
9.321347,270,1005.784331
38.325727,498,1014.124764
18.195334,130,1017.308548
33.632213,491,1025.544493
63.054074,1481,1047.960693
23.306767,369,1054.442374
20.332585,170,1058.175831
19.016499,164,1061.792956
25.240896,199,1065.928043
18.296375,288,1071.327279
16.592558,258,1076.283863
34.463483,904,1090.461623
71.849224,1077,1107.225548
24.947561,189,1111.290252
107.406365,1613,1135.578339
38.816867,597,1145.361773
180.445602,3048,1190.359181
22.933409,173,1194.095078
25.258321,192,1198.160627
25.92818,195,1202.262836
37.52735,489,1210.578967
24.189343,179,1214.459074
30.84048,464,1222.445282
25.966267,201,1226.628589
13.660811,226,1231.157763
16.89422,346,1237.342206
17.696377,250,1242.299315
18.955743,314,1248.241342
20.136782,269,1253.422869
50.374547,1032,1269.542251
44.706106,520,1278.295346
22.386931,168,1282.045643
18.814659,155,1285.607335
23.955473,185,1289.595511
18.40188,295,1295.128967
39.509327,658,1305.889224
17.811975,276,1311.277394
27.389614,219,1315.743137
18.454953,273,1320.960819
21.238168,396,1327.946188
23.952197,300,1333.579072
76.396532,1216,1352.558902
75.486135,1123,1369.923636
15.819458,336,1376.172296
12.12668,262,1381.32379
18.112955,310,1387.075735
25.69414,342,1393.442933
23.790146,170,1397.178879
27.026206,248,1402.062696
16.447503,1066,1418.782614
23.972052,190,1422.811316
22.291252,200,1426.991054
21.991894,171,1430.768301
22.146393,155,1434.287239
109.19049,1525,1457.589446
37.621987,498,1466.046482
23.681739,331,1472.494452
22.870893,177,1476.327598
21.768801,156,1479.880286
24.126651,356,1486.463467
23.909534,305,1492.146861
19.376445,139,1495.413486
23.677455,174,1499.195847
25.612825,205,1503.463249
23.979813,186,1507.776189
37.855071,719,1519.509121
18.923656,139,1522.830288
16.675369,243,1527.630469
19.946282,139,1530.978099
8.134532,307,1536.707675
23.113332,191,1540.758099
18.069568,267,1545.906878
23.746569,182,1549.84688
6.442485,293,1555.380741
25.495322,195,1559.463687
35.537468,607,1569.459607
24.068302,187,1573.496974
66.10418,827,1586.892269
23.245617,174,1590.908029
28.67702,232,1595.347064
21.075748,150,1598.844229
17.944868,195,1602.962736
22.84,169,1606.711903
18.327292,250,1611.614113
19.401508,143,1614.964324
24.448163,175,1618.847739
21.928497,159,1622.463737
27.622874,225,1626.980866
20.61279,159,1630.581136
22.034573,156,1634.144731
20.810395,413,1641.4603
22.526574,168,1645.241906
24.721518,206,1649.51424
22.834058,171,1653.281137
27.651453,217,1657.709592
27.243837,229,1662.278947
19.736849,146,1665.663884
32.976561,344,1672.029875
26.667519,200,1676.315392
26.977802,230,1681.027069
19.098393,269,1686.385331
25.604387,235,1691.22481
22.005999,155,1694.839385
24.197319,183,1698.831247
21.527717,154,1702.464646
27.018891,212,1706.991594
27.695884,220,1711.607224
26.088514,205,1715.96166
25.994345,202,1720.289351
26.218497,204,1724.658683
24.626277,183,1728.678492
10.872977,281,1734.148379
21.702649,193,1738.353549
25.071353,189,1742.398788
27.02002,246,1747.399719
25.030493,190,1751.55945
19.021864,140,1754.988639
20.616643,156,1758.638776
19.497612,271,1764.01165
19.707707,146,1767.465675
19.973988,290,1773.203227
20.347422,148,1776.748303
22.149768,161,1780.451143
17.156579,265,1785.751795
22.014337,156,1789.370299
27.378493,229,1793.766695
23.968066,186,1797.831902
24.476836,205,1802.145524
21.95023,156,1805.780428
18.845735,249,1810.852841
26.431945,197,1815.141366
25.45927,187,1819.293412
19.995735,134,1822.629682
10.919211,199,1826.882287
27.022325,218,1831.459846
24.574922,185,1835.490559
27.159212,217,1840.127665
25.967064,205,1844.509846
19.956059,134,1847.816039
15.951841,246,1852.804018
27.331773,236,1857.598741
23.271798,166,1861.348754
17.969775,121,1864.465379
20.114704,136,1867.775161
18.44942,180,1871.744865
28.216821,224,1876.427087
23.400913,174,1880.365803
22.801582,166,1884.132587
23.092913,163,1887.88051
22.954423,168,1891.676841
18.467655,187,1895.778265
17.52524,241,1900.705064
23.761371,177,1904.65735
22.563212,163,1908.395253
22.317989,155,1912.030062
18.85386,245,1916.976307
19.039148,264,1922.266668
26.388998,217,1926.832007
16.574609,224,1931.493072
25.973687,197,1935.72733
28.68603,221,1940.349053
20.642772,149,1943.895986
19.783671,178,1947.853626
25.239198,321,1954.298288
27.357371,210,1958.680363
23.499949,166,1962.507862
24.949092,185,1966.559118
4.148635,99,1969.342309
19.707791,148,1972.860748
18.169991,249,1977.916545
27.016554,209,1982.349963
20.955801,149,1985.797557
19.269452,426,1993.533342
26.704872,218,1998.081027
27.303798,207,2002.513122
23.164789,175,2006.432909
21.178178,168,2010.232667
22.574099,170,2014.099107
23.36766,172,2018.014661
20.581229,389,2025.168918
21.927139,156,2028.784032
26.963292,229,2033.467052
21.945484,156,2037.094862
20.167907,135,2040.464428
22.895867,163,2044.249787
21.475994,158,2047.897852
26.434279,197,2052.110591
26.877244,210,2056.550583
20.629656,147,2060.099803
23.134871,163,2063.814548
20.116408,140,2067.188919
19.42135,185,2071.19313
20.361857,144,2074.645666
20.167651,142,2078.087634
20.355552,158,2081.815652
19.016407,133,2085.152632
24.195236,178,2089.100018
23.206613,175,2093.034773
